step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec
0,11.888001,11.887641,0.000002,4.537776,15359.993573,4266.668452
1,11.855417,-1.000000,0.000004,4.613362,7612.842498,8608.611043
2,11.810410,-1.000000,0.000006,4.935067,7701.793706,8509.186626
3,11.738214,-1.000000,0.000008,4.634981,7695.932253,8515.667478
4,11.631248,-1.000000,0.000010,4.602330,7656.485901,8559.540349
5,11.501215,-1.000000,0.000012,4.644637,7658.047012,8557.795466
6,11.339361,-1.000000,0.000014,4.555079,7570.119639,8657.194751
7,11.197884,-1.000000,0.000016,4.461265,7544.215434,8686.920538
8,11.027747,-1.000000,0.000018,4.163056,7545.752298,8685.151250
9,10.805343,-1.000000,0.000020,4.119990,7651.021403,8565.653728
10,10.606550,-1.000000,0.000022,3.845333,7559.610011,8669.230278
11,10.513829,-1.000000,0.000024,3.209008,7556.958585,8672.271955
12,10.233107,-1.000000,0.000026,2.965193,7632.632356,8586.290672
13,10.010129,-1.000000,0.000028,2.694418,7557.543340,8671.600949
14,9.909265,-1.000000,0.000030,2.776702,7571.854838,8655.210830
15,9.915207,-1.000000,0.000032,2.749414,7549.730820,8680.574389
16,9.840079,-1.000000,0.000034,2.788702,7551.321947,8678.745319
17,9.723392,-1.000000,0.000036,2.820566,7619.498519,8601.090982
18,9.639177,-1.000000,0.000038,2.857496,7559.840852,8668.965562
19,9.607839,-1.000000,0.000040,2.389942,7564.363394,8663.782606
20,9.492393,-1.000000,0.000042,1.975441,7602.829115,8619.949102
21,9.427077,-1.000000,0.000044,1.918888,7764.291042,8440.693380
22,9.376464,-1.000000,0.000046,1.695288,7668.978472,8545.597075
23,9.362428,-1.000000,0.000048,1.537690,7659.927885,8555.694125
24,9.275856,-1.000000,0.000050,1.414925,7684.157085,8528.716849
25,9.117072,-1.000000,0.000052,1.875851,7834.088747,8365.491140
26,9.142310,-1.000000,0.000054,1.467594,7565.659703,8662.298144
27,9.112226,-1.000000,0.000056,1.573389,7634.176126,8584.554367
28,9.019283,-1.000000,0.000058,1.358088,7564.898648,8663.169601
29,8.983803,-1.000000,0.000060,1.141415,7650.325222,8566.433204
30,8.866285,-1.000000,0.000062,1.086667,7545.107010,8685.894039
31,8.945395,-1.000000,0.000064,1.041534,7554.631804,8674.942962
32,8.808324,-1.000000,0.000066,0.938520,7545.372167,8685.588802
33,8.681984,-1.000000,0.000068,0.975372,7548.694777,8681.765780
34,8.714855,-1.000000,0.000070,1.212210,7554.395340,8675.214501
35,8.694331,-1.000000,0.000072,1.090607,7549.977262,8680.291043
36,8.589152,-1.000000,0.000074,0.892901,7558.729939,8670.239647
37,8.567495,-1.000000,0.000076,0.780778,7548.093522,8682.457340
38,8.490225,-1.000000,0.000078,1.017404,7552.577150,8677.302952
39,8.359997,-1.000000,0.000080,0.980336,7550.541276,8679.642638
40,8.427763,-1.000000,0.000082,0.780864,7558.178811,8670.871865
41,8.362833,-1.000000,0.000084,0.798727,7535.305496,8697.192176
42,8.304358,-1.000000,0.000086,0.985544,7543.245646,8688.037362
43,8.282856,-1.000000,0.000088,0.783002,7604.346737,8618.228793
